"p","y","t","fip_title","c","q","res"
"F1","2021","D","SeaDataNET_Sextant_FIP_2021","SeaDataNet-Sextant","F1-D","DOI"
"F1","2019","D","eLTER_FIP_2019","eLTER-RI","F1-D","DOI"
"F1","2020","D","eLTER_FIP_2020","eLTER-RI","F1-D","DOI"
"F1","2019","D","eLTER_FIP_2019","eLTER-RI","F1-D","Handle_System"
"F1","2020","D","eLTER_FIP_2020","eLTER-RI","F1-D","Handle_System"
"F1","2019","D","eLTER_FIP_2019","eLTER-RI","F1-D","DEIMS-ID"
"F1","2020","D","eLTER_FIP_2020","eLTER-RI","F1-D","DEIMS-ID"
"F1","2021","D","eLTER_FIP_2021","eLTER-RI","F1-D","DOI"
"F1","2021","D","eLTER_FIP_2021","eLTER-RI","F1-D","Handle_System"
"F1","2021","D","eLTER_FIP_2021","eLTER-RI","F1-D","DEIMS-ID"
"F1","2021","D","IAGOS_FIP_2021","iagos","F1-D","ePIC"
"F1","2020","D","IAGOS_FIP_2020","iagos","F1-D","DOI"
"F1","2021","D","IAGOS_FIP_2021","iagos","F1-D","DOI"
"F1","2019","D","IAGOS_FIP_2019","iagos","F1-D","DOI"
"F1","2020","D","IAGOS_FIP_2020","iagos","F1-D","ePIC"
"F1","2019","D","LifeWatch_Marine_FIP_2019","lw-marine","F1-D","URI"
"F1","2020","D","LifeWatch_Marine_FIP_2020","lw-marine","F1-D","URI"
"F1","2021","D","LifeWatch_Marine_FIP_2021","lw-marine","F1-D","URI"
"F1","2019","D","SIOS_FIP_2019","sios","F1-D","UUID"
"F1","2021","D","SIOS_FIP_2021","sios","F1-D","UUID"
"F1","2020","D","SIOS_FIP_2020","sios","F1-D","UUID"
"F1","2019","D","SIOS_FIP_2019","sios","F1-D","DOI"
"F1","2021","D","SIOS_FIP_2021","sios","F1-D","DOI"
"F1","2020","D","SIOS_FIP_2020","sios","F1-D","DOI"
"F2","2019","F2","ACTRIS_ARES_FIP_2019","ACTRIS-ARES","F2","NetCDF_CF1.7"
"F2","2020","F2","ACTRIS_ARES_FIP_2020","ACTRIS-ARES","F2","NetCDF_CF1.7"
"F2","2021","F2","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F2","NetCDF_CF1.7"
"F2","2021","F2","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F2","datacite_metadata_scheme"
"F2","2021","F2","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F2","wmo-core-profile"
"F2","2019","F2","ACTRIS-ASC_FIP_2019","ACTRIS-ASC","F2","ISO_19115"
"F2","2020","F2","ACTRIS-ASC_FIP_2020","ACTRIS-ASC","F2","ISO_19115"
"F2","2021","F2","ACTRIS-ASC_FIP_2021","ACTRIS-ASC","F2","ISO_19115"
"F2","2020","F2","ACTRIS-ASC_FIP_2020","ACTRIS-ASC","F2","datacite_metadata_scheme"
"F2","2021","F2","ACTRIS-ASC_FIP_2021","ACTRIS-ASC","F2","datacite_metadata_scheme"
"F2","2019","F2","ACTRIS-ASC_FIP_2019","ACTRIS-ASC","F2","datacite_metadata_scheme"
"F2","2019","F2","ACTRIS_CLU_FIP_2019","ACTRIS_CLU","F2","NetCDF_CF1.7"
"F2","2020","F2","ACTRIS_CLU_FIP_2020","ACTRIS_CLU","F2","NetCDF_CF1.7"
"F2","2021","F2","ACTRIS_CLU_FIP_2021","ACTRIS_CLU","F2","NetCDF_CF1.7"
"F2","2020","F2","ACTRIS-DVAS_FIP_2020","ACTRIS_DVAS","F2","wmo-core-profile"
"F2","2021","F2","ACTRIS-DVAS_FIP_2021","ACTRIS_DVAS","F2","wmo-core-profile"
"F2","2019","F2","ACTRIS-DVAS_FIP_2019","ACTRIS_DVAS","F2","wmo-core-profile"
"F2","2019","F2","ACTRIS-GRES_FIP_2019","ACTRIS_GRES","F2","ISO_19115"
"F2","2020","F2","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F2","ISO_19115"
"F2","2021","F2","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F2","ISO_19115"
"F2","2020","F2","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F2","datacite_metadata_scheme"
"F2","2021","F2","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F2","datacite_metadata_scheme"
